"apt_unit_id","NAME","net_area","number_of_units","MONTH","kb_price_mid"
"11947","역삼 아이파크 2차","59.94","9","2005.10","45500"
"11947","역삼 아이파크 2차","59.94","9","2005.11","47000"
"11947","역삼 아이파크 2차","59.94","9","2005.12","47500"
"11947","역삼 아이파크 2차","59.94","9","2006.01","47500"
"11947","역삼 아이파크 2차","59.94","9","2006.02","48000"
"11947","역삼 아이파크 2차","59.94","9","2006.03","50500"
"11947","역삼 아이파크 2차","59.94","9","2006.04","52000"
"11947","역삼 아이파크 2차","59.94","9","2006.05","53000"
"11947","역삼 아이파크 2차","59.94","9","2006.06","54000"
"11947","역삼 아이파크 2차","59.94","9","2006.07","54000"
"11947","역삼 아이파크 2차","59.94","9","2006.08","54000"
"11947","역삼 아이파크 2차","59.94","9","2006.09","54000"
"11947","역삼 아이파크 2차","59.94","9","2006.10","55000"
"11947","역삼 아이파크 2차","59.94","9","2006.11","56500"
"11947","역삼 아이파크 2차","59.94","9","2006.12","56500"
"11947","역삼 아이파크 2차","59.94","9","2007.01","58000"
"11947","역삼 아이파크 2차","59.94","9","2007.02","58000"
"11947","역삼 아이파크 2차","59.94","9","2007.03","58000"
"11947","역삼 아이파크 2차","59.94","9","2007.04","58000"
"11947","역삼 아이파크 2차","59.94","9","2007.05","58000"
"11947","역삼 아이파크 2차","59.94","9","2007.06","58000"
"11947","역삼 아이파크 2차","59.94","9","2007.07","59000"
"11947","역삼 아이파크 2차","59.94","9","2007.08","59000"
"11947","역삼 아이파크 2차","59.94","9","2007.09","59000"
"11947","역삼 아이파크 2차","59.94","9","2007.10","59000"
"11947","역삼 아이파크 2차","59.94","9","2007.11","59000"
"11947","역삼 아이파크 2차","59.94","9","2007.12","59000"
"11947","역삼 아이파크 2차","59.94","9","2008.01","59000"
"11947","역삼 아이파크 2차","59.94","9","2008.02","59000"
"11947","역삼 아이파크 2차","59.94","9","2008.03","59000"
"11947","역삼 아이파크 2차","59.94","9","2008.04","59000"
"11947","역삼 아이파크 2차","59.94","9","2008.05","59000"
"11947","역삼 아이파크 2차","59.94","9","2008.06","59000"
"11947","역삼 아이파크 2차","59.94","9","2008.07","58500"
"11947","역삼 아이파크 2차","59.94","9","2008.08","58250"
"11947","역삼 아이파크 2차","59.94","9","2008.09","58250"
"11947","역삼 아이파크 2차","59.94","9","2008.10","56000"
"11947","역삼 아이파크 2차","59.94","9","2008.11","54500"
"11947","역삼 아이파크 2차","59.94","9","2008.12","51000"
"11947","역삼 아이파크 2차","59.94","9","2009.01","51000"
"11947","역삼 아이파크 2차","59.94","9","2009.02","51000"
"11947","역삼 아이파크 2차","59.94","9","2009.03","51000"
"11947","역삼 아이파크 2차","59.94","9","2009.04","51500"
"11947","역삼 아이파크 2차","59.94","9","2009.05","52000"
"11947","역삼 아이파크 2차","59.94","9","2009.06","52000"
"11947","역삼 아이파크 2차","59.94","9","2009.07","52000"
"11947","역삼 아이파크 2차","59.94","9","2009.08","52500"
"11947","역삼 아이파크 2차","59.94","9","2009.09","52500"
"11947","역삼 아이파크 2차","59.94","9","2009.10","52500"
"11947","역삼 아이파크 2차","59.94","9","2009.11","52500"
"11947","역삼 아이파크 2차","59.94","9","2009.12","52500"
"11947","역삼 아이파크 2차","59.94","9","2010.01","52500"
"11947","역삼 아이파크 2차","59.94","9","2010.02","52500"
"11947","역삼 아이파크 2차","59.94","9","2010.03","53500"
"11947","역삼 아이파크 2차","59.94","9","2010.04","53500"
"11947","역삼 아이파크 2차","59.94","9","2010.05","55500"
"11947","역삼 아이파크 2차","59.94","9","2010.06","55500"
"11947","역삼 아이파크 2차","59.94","9","2010.07","55000"
"11947","역삼 아이파크 2차","59.94","9","2010.08","54500"
"11947","역삼 아이파크 2차","59.94","9","2010.09","54500"
"11947","역삼 아이파크 2차","59.94","9","2010.10","54500"
"11947","역삼 아이파크 2차","59.94","9","2010.11","54500"
"11947","역삼 아이파크 2차","59.94","9","2010.12","54500"
"11947","역삼 아이파크 2차","59.94","9","2011.01","54500"
"11947","역삼 아이파크 2차","59.94","9","2011.02","56000"
"11947","역삼 아이파크 2차","59.94","9","2011.03","56000"
"11947","역삼 아이파크 2차","59.94","9","2011.04","61000"
"11947","역삼 아이파크 2차","59.94","9","2011.05","61000"
"11947","역삼 아이파크 2차","59.94","9","2011.06","61500"
"11947","역삼 아이파크 2차","59.94","9","2011.07","61500"
"11947","역삼 아이파크 2차","59.94","9","2011.08","61500"
"11947","역삼 아이파크 2차","59.94","9","2011.09","61500"
"11947","역삼 아이파크 2차","59.94","9","2011.10","61500"
"11947","역삼 아이파크 2차","59.94","9","2011.11","61500"
"11947","역삼 아이파크 2차","59.94","9","2011.12","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.01","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.02","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.03","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.04","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.05","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.06","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.07","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.08","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.09","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.10","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.11","61500"
"11947","역삼 아이파크 2차","59.94","9","2012.12","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.01","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.02","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.03","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.04","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.05","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.06","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.07","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.08","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.09","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.10","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.11","61500"
"11947","역삼 아이파크 2차","59.94","9","2013.12","61500"
"11947","역삼 아이파크 2차","59.94","9","2014.01","61500"
"11947","역삼 아이파크 2차","59.94","9","2014.02","61500"
"11947","역삼 아이파크 2차","59.94","9","2014.03","61500"
"11947","역삼 아이파크 2차","59.94","9","2014.04","61500"
"11947","역삼 아이파크 2차","59.94","9","2014.05","61500"
"11947","역삼 아이파크 2차","59.94","9","2014.06","61500"
"11947","역삼 아이파크 2차","59.94","9","2014.07","62500"
"11947","역삼 아이파크 2차","59.94","9","2014.08","63000"
"11947","역삼 아이파크 2차","59.94","9","2014.09","63500"
"11947","역삼 아이파크 2차","59.94","9","2014.10","63500"
"11947","역삼 아이파크 2차","59.94","9","2014.11","65500"
"11947","역삼 아이파크 2차","59.94","9","2014.12","67000"
"11947","역삼 아이파크 2차","59.94","9","2015.01","67000"
"11947","역삼 아이파크 2차","59.94","9","2015.02","67000"
"11947","역삼 아이파크 2차","59.94","9","2015.03","67000"
"11947","역삼 아이파크 2차","59.94","9","2015.04","67000"
"11947","역삼 아이파크 2차","59.94","9","2015.05","67000"
"11947","역삼 아이파크 2차","59.94","9","2015.06","68000"
"11947","역삼 아이파크 2차","59.94","9","2015.07","70000"
"11947","역삼 아이파크 2차","59.94","9","2015.08","71000"
"11947","역삼 아이파크 2차","59.94","9","2015.09","71000"
"11947","역삼 아이파크 2차","59.94","9","2015.10","71000"
"11947","역삼 아이파크 2차","59.94","9","2015.11","71000"
"11947","역삼 아이파크 2차","59.94","9","2015.12","71000"
"11947","역삼 아이파크 2차","59.94","9","2016.01","71000"
"11947","역삼 아이파크 2차","59.94","9","2016.02","71000"
"11947","역삼 아이파크 2차","59.94","9","2016.03","71000"
"11947","역삼 아이파크 2차","59.94","9","2016.04","72000"
"11947","역삼 아이파크 2차","59.94","9","2016.05","72000"
"11947","역삼 아이파크 2차","59.94","9","2016.06","72000"
"11947","역삼 아이파크 2차","59.94","9","2016.07","73500"
"11947","역삼 아이파크 2차","59.94","9","2016.08","75500"
"11947","역삼 아이파크 2차","59.94","9","2016.09","77500"
"11947","역삼 아이파크 2차","59.94","9","2016.10","78000"
"11947","역삼 아이파크 2차","59.94","9","2016.11","78500"
"11947","역삼 아이파크 2차","59.94","9","2016.12","78500"
"11947","역삼 아이파크 2차","59.94","9","2017.01","80500"
"11947","역삼 아이파크 2차","59.94","9","2017.02","80500"
"11947","역삼 아이파크 2차","59.94","9","2017.03","80500"
"11947","역삼 아이파크 2차","59.94","9","2017.04","81000"
"11947","역삼 아이파크 2차","59.94","9","2017.05","83500"
"11947","역삼 아이파크 2차","59.94","9","2017.06","83500"
"11947","역삼 아이파크 2차","59.94","9","2017.07","88500"
"11947","역삼 아이파크 2차","59.94","9","2017.08","89500"
"11947","역삼 아이파크 2차","59.94","9","2017.09","89500"
"11947","역삼 아이파크 2차","59.94","9","2017.10","91000"
"11947","역삼 아이파크 2차","59.94","9","2017.11","96000"
"11947","역삼 아이파크 2차","59.94","9","2017.12","100000"
"11947","역삼 아이파크 2차","59.94","9","2018.01","107500"
"11947","역삼 아이파크 2차","59.94","9","2018.02","112500"
"11947","역삼 아이파크 2차","59.94","9","2018.03","117500"
"11947","역삼 아이파크 2차","59.94","9","2018.04","122500"
"11947","역삼 아이파크 2차","59.94","9","2018.05","122500"
"11947","역삼 아이파크 2차","59.94","9","2018.06","122500"
"11947","역삼 아이파크 2차","59.94","9","2018.07","122500"
"11947","역삼 아이파크 2차","59.94","9","2018.08","125000"
"11947","역삼 아이파크 2차","59.94","9","2018.09","125000"
"11947","역삼 아이파크 2차","59.94","9","2018.10","125000"
"11947","역삼 아이파크 2차","59.94","9","2018.11","125000"
"11947","역삼 아이파크 2차","59.94","9","2018.12","125000"
"11947","역삼 아이파크 2차","59.94","9","2019.01","129000"
"11947","역삼 아이파크 2차","59.94","9","2019.02","129000"
"11947","역삼 아이파크 2차","59.94","9","2019.03","129000"
"11947","역삼 아이파크 2차","59.94","9","2019.04","127500"
"11947","역삼 아이파크 2차","59.94","9","2019.05","126000"
"11947","역삼 아이파크 2차","59.94","9","2019.06","127500"
"11947","역삼 아이파크 2차","59.94","9","2019.07","127500"
"11947","역삼 아이파크 2차","59.94","9","2019.08","129000"
"11947","역삼 아이파크 2차","59.94","9","2019.09","139000"
"11947","역삼 아이파크 2차","59.94","9","2019.10","140000"
"11947","역삼 아이파크 2차","59.94","9","2019.11","146500"
"11947","역삼 아이파크 2차","59.94","9","2019.12","146500"
"11947","역삼 아이파크 2차","59.94","9","2020.01","146500"
"11947","역삼 아이파크 2차","59.94","9","2020.02","146500"
"11947","역삼 아이파크 2차","59.94","9","2020.03","145500"
"11947","역삼 아이파크 2차","59.94","9","2020.04","145500"
"11947","역삼 아이파크 2차","59.94","9","2020.05","145500"
"11947","역삼 아이파크 2차","59.94","9","2020.06","146500"
"11947","역삼 아이파크 2차","59.94","9","2020.07","160000"
"11947","역삼 아이파크 2차","59.94","9","2020.08","160000"
"11947","역삼 아이파크 2차","59.94","9","2020.09","160000"
"11947","역삼 아이파크 2차","59.94","9","2020.10","160000"
"11947","역삼 아이파크 2차","59.94","9","2020.11","160000"
"11947","역삼 아이파크 2차","59.94","9","2020.12","165000"
"11947","역삼 아이파크 2차","59.94","9","2021.01","165000"
"11960","역삼디오슈페리움","51.21","20","2010.02","33000"
"11960","역삼디오슈페리움","51.21","20","2010.03","33000"
"11960","역삼디오슈페리움","51.21","20","2010.04","33000"
"11960","역삼디오슈페리움","51.21","20","2010.05","33000"
"11960","역삼디오슈페리움","51.21","20","2010.06","33000"
"11960","역삼디오슈페리움","51.21","20","2010.07","33000"
"11960","역삼디오슈페리움","51.21","20","2010.08","33000"
"11960","역삼디오슈페리움","51.21","20","2010.09","33000"
"11960","역삼디오슈페리움","51.21","20","2010.10","33000"
"11960","역삼디오슈페리움","51.21","20","2010.11","33000"
"11960","역삼디오슈페리움","51.21","20","2010.12","33000"
"11960","역삼디오슈페리움","51.21","20","2011.01","34000"
"11960","역삼디오슈페리움","51.21","20","2011.02","34000"
"11960","역삼디오슈페리움","51.21","20","2011.03","35500"
"11960","역삼디오슈페리움","51.21","20","2011.04","35500"
"11960","역삼디오슈페리움","51.21","20","2011.05","35500"
"11960","역삼디오슈페리움","51.21","20","2011.06","35500"
"11960","역삼디오슈페리움","51.21","20","2011.07","35500"
"11960","역삼디오슈페리움","51.21","20","2011.08","35500"
"11960","역삼디오슈페리움","51.21","20","2011.09","35500"
"11960","역삼디오슈페리움","51.21","20","2011.10","35500"
"11960","역삼디오슈페리움","51.21","20","2011.11","35500"
"11960","역삼디오슈페리움","51.21","20","2011.12","35500"
"11960","역삼디오슈페리움","51.21","20","2012.01","35500"
"11960","역삼디오슈페리움","51.21","20","2012.02","35500"
"11960","역삼디오슈페리움","51.21","20","2012.03","35500"
"11960","역삼디오슈페리움","51.21","20","2012.04","35500"
"11960","역삼디오슈페리움","51.21","20","2012.05","35500"
"11960","역삼디오슈페리움","51.21","20","2012.06","35500"
"11960","역삼디오슈페리움","51.21","20","2012.07","35500"
"11960","역삼디오슈페리움","51.21","20","2012.08","35500"
"11960","역삼디오슈페리움","51.21","20","2012.09","35500"
"11960","역삼디오슈페리움","51.21","20","2012.10","35500"
"11960","역삼디오슈페리움","51.21","20","2012.11","35500"
"11960","역삼디오슈페리움","51.21","20","2012.12","35500"
"11960","역삼디오슈페리움","51.21","20","2013.01","35500"
"11960","역삼디오슈페리움","51.21","20","2013.02","35500"
"11960","역삼디오슈페리움","51.21","20","2013.03","35500"
"11960","역삼디오슈페리움","51.21","20","2013.04","35500"
"11960","역삼디오슈페리움","51.21","20","2013.05","37000"
"11960","역삼디오슈페리움","51.21","20","2013.06","37000"
"11960","역삼디오슈페리움","51.21","20","2013.07","37000"
"11960","역삼디오슈페리움","51.21","20","2013.08","37000"
"11960","역삼디오슈페리움","51.21","20","2013.09","35000"
"11960","역삼디오슈페리움","51.21","20","2013.10","35000"
"11960","역삼디오슈페리움","51.21","20","2013.11","35000"
"11960","역삼디오슈페리움","51.21","20","2013.12","35000"
"11960","역삼디오슈페리움","51.21","20","2014.01","35000"
"11960","역삼디오슈페리움","51.21","20","2014.02","35000"
"11960","역삼디오슈페리움","51.21","20","2014.03","35000"
"11960","역삼디오슈페리움","51.21","20","2014.04","35000"
"11960","역삼디오슈페리움","51.21","20","2014.05","35000"
"11960","역삼디오슈페리움","51.21","20","2014.06","35000"
"11960","역삼디오슈페리움","51.21","20","2014.07","35000"
"11960","역삼디오슈페리움","51.21","20","2014.08","35000"
"11960","역삼디오슈페리움","51.21","20","2014.09","35000"
"11960","역삼디오슈페리움","51.21","20","2014.10","35000"
"11960","역삼디오슈페리움","51.21","20","2014.11","35000"
"11960","역삼디오슈페리움","51.21","20","2014.12","35000"
"11960","역삼디오슈페리움","51.21","20","2015.01","37000"
"11960","역삼디오슈페리움","51.21","20","2015.02","39000"
"11960","역삼디오슈페리움","51.21","20","2015.03","39000"
"11960","역삼디오슈페리움","51.21","20","2015.04","39000"
"11960","역삼디오슈페리움","51.21","20","2015.05","39000"
"11960","역삼디오슈페리움","51.21","20","2015.06","39000"
"11960","역삼디오슈페리움","51.21","20","2015.07","39000"
"11960","역삼디오슈페리움","51.21","20","2015.08","37000"
"11960","역삼디오슈페리움","51.21","20","2015.09","37000"
"11960","역삼디오슈페리움","51.21","20","2015.10","37000"
"11960","역삼디오슈페리움","51.21","20","2015.11","37000"
"11960","역삼디오슈페리움","51.21","20","2015.12","37000"
"11960","역삼디오슈페리움","51.21","20","2016.01","37000"
"11960","역삼디오슈페리움","51.21","20","2016.02","37000"
"11960","역삼디오슈페리움","51.21","20","2016.03","37000"
"11960","역삼디오슈페리움","51.21","20","2016.04","37000"
"11960","역삼디오슈페리움","51.21","20","2016.05","37000"
"11960","역삼디오슈페리움","51.21","20","2016.06","37000"
"11960","역삼디오슈페리움","51.21","20","2016.07","37000"
"11960","역삼디오슈페리움","51.21","20","2016.08","37000"
"11960","역삼디오슈페리움","51.21","20","2016.09","37000"
"11960","역삼디오슈페리움","51.21","20","2016.10","37000"
"11960","역삼디오슈페리움","51.21","20","2016.11","37000"
"11960","역삼디오슈페리움","51.21","20","2016.12","37000"
"11960","역삼디오슈페리움","51.21","20","2017.01","37000"
"11960","역삼디오슈페리움","51.21","20","2017.02","38000"
"11960","역삼디오슈페리움","51.21","20","2017.03","38000"
"11960","역삼디오슈페리움","51.21","20","2017.04","38000"
"11960","역삼디오슈페리움","51.21","20","2017.05","38000"
"11960","역삼디오슈페리움","51.21","20","2017.06","38000"
"11960","역삼디오슈페리움","51.21","20","2017.07","38000"
"11960","역삼디오슈페리움","51.21","20","2017.08","38000"
"11960","역삼디오슈페리움","51.21","20","2017.09","39000"
"11960","역삼디오슈페리움","51.21","20","2017.10","39000"
"11960","역삼디오슈페리움","51.21","20","2017.11","40000"
"11960","역삼디오슈페리움","51.21","20","2017.12","40000"
